id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Blinding Lights,The Weeknd,synthpop,euphoric,0.79,171,0.67,0.51,0.00
12,Lose Yourself,Eminem,hip hop,driven,0.86,171,0.53,0.70,0.01
13,Jolene,Dolly Parton,country,heartbroken,0.58,110,0.74,0.73,0.56
14,"No Woman, No Cry",Bob Marley and the Wailers,reggae,reflective,0.42,103,0.66,0.66,0.34
15,Clair de Lune,Claude Debussy,classical,peaceful,0.12,66,0.31,0.08,0.98
16,Smells Like Teen Spirit,Nirvana,grunge,rebellious,0.95,117,0.40,0.50,0.00
17,Gasolina,Daddy Yankee,reggaeton,party,0.88,96,0.81,0.94,0.01
18,Someone Like You,Adele,soul,melancholic,0.34,67,0.28,0.33,0.89
